date_arrival,rm_id,net_weight,num_deliveries,supplier_id,product_id,quantity,delivery_delay_days,receival_status
2004-06-15,365.0,83784.0,7,52062,91900143.0,16400000.0,-199.0,Completed
2004-06-15,366.0,3015.0,1,20023,91900160.0,600000.0,-199.0,Completed
2004-06-15,368.0,13500.0,1,57292,91900170.0,75000.0,-15.0,Completed
2004-06-15,369.0,6745.0,1,20023,91900146.0,600000.0,-199.0,Completed
2004-06-15,379.0,23910.0,1,52577,91900296.0,125000.0,-15.0,Completed
2004-06-15,389.0,8680.0,1,55251,91900330.0,350000.0,-199.0,Completed
2004-06-16,365.0,40460.0,2,50387,91900143.0,8775000.0,-198.0,Completed
2004-06-16,366.0,15490.0,1,50387,91900160.0,600000.0,-198.0,Completed
2004-06-16,367.0,91970.0,8,54748,91900143.0,25053996.0,-198.0,Completed
2004-06-16,375.0,46932.0,5,50363,91900302.0,2131674.0,-198.0,Completed
2004-06-16,388.0,5437.0,1,50363,91900330.0,193476.0,-198.0,Completed
2004-06-17,347.0,29805.0,2,58000,91900143.0,150000.0,-13.0,Completed
2004-06-17,357.0,71940.0,3,10001,91900152.0,450000.0,-1.0,Completed
2004-06-17,365.0,154251.0,11,55251,91900143.0,23500000.0,-197.0,Completed
2004-06-17,367.0,25700.0,2,55251,91900143.0,5400000.0,-197.0,Completed
2004-06-17,368.0,11220.0,1,57292,91900170.0,75000.0,-13.0,Completed
2004-06-17,375.0,4800.0,1,56343,91900302.0,650000.0,-197.0,Completed
2004-06-17,379.0,24230.0,1,52577,91900296.0,125000.0,-13.0,Completed
2004-06-18,357.0,72380.0,3,10001,91900152.0,450000.0,0.0,Completed
2004-06-18,365.0,204600.0,14,20023,91900143.0,34392000.0,-196.0,Completed
2004-06-18,366.0,5310.0,1,20023,91900160.0,600000.0,-196.0,Completed
2004-06-18,367.0,26320.0,2,52036,91900143.0,4225000.0,-104.0,Completed
2004-06-18,368.0,24840.0,3,54904,91900170.0,125000.0,-12.0,Completed
2004-06-18,369.0,6200.0,1,20023,91900146.0,600000.0,-196.0,Completed
2004-06-18,375.0,10020.0,1,56343,91900302.0,650000.0,-196.0,Completed
2004-06-18,379.0,12220.0,1,57292,91900296.0,50000.0,-12.0,Completed
2004-06-21,347.0,14920.0,1,50430,91900143.0,2200000.0,-193.0,Completed
2004-06-21,365.0,136600.0,9,50430,91900143.0,27475000.0,-274.1111111111111,Completed
2004-06-21,368.0,9460.0,1,56438,91900170.0,60240.0,-9.0,Completed
2004-06-21,378.0,6200.0,1,57619,91900302.0,25000.0,-558.0,Completed
2004-06-22,365.0,132509.0,9,52036,91900143.0,22197000.0,-192.0,Completed
2004-06-22,367.0,31000.0,2,50388,91900143.0,5900000.0,-192.0,Completed
2004-06-22,368.0,13200.0,1,56438,91900170.0,60240.0,-8.0,Completed
2004-06-22,375.0,15580.0,1,55815,91900302.0,150000.0,-192.0,Completed
2004-06-23,342.0,24940.0,1,52433,91900170.0,52000.0,23.0,Completed
2004-06-23,365.0,88160.0,7,52036,91900143.0,27500000.0,-164.71428571428572,Completed
2004-06-23,369.0,12560.0,2,50387,91900146.0,3000000.0,-191.0,Completed
2004-06-23,379.0,38630.0,2,54904,91900296.0,225000.0,-7.0,Completed
2004-06-24,346.0,820.0,1,52062,91900146.0,335550.0,-190.0,Completed
2004-06-24,357.0,72540.0,3,10001,91900152.0,450000.0,-1.0,Completed
2004-06-24,365.0,137362.0,12,55059,91900143.0,27874946.0,-220.41666666666666,Completed
2004-06-24,366.0,1774.0,1,52166,91900160.0,110922.0,-190.0,Completed
2004-06-24,368.0,12240.0,1,56438,91900170.0,60240.0,-6.0,Completed
2004-06-24,375.0,22733.0,3,54748,91900302.0,475749.0,-311.6666666666667,Completed
2004-06-25,357.0,72320.0,3,10001,91900152.0,450000.0,0.0,Completed
2004-06-25,365.0,100558.0,6,52036,91900143.0,21625000.0,-189.0,Completed
2004-06-25,367.0,27060.0,2,52036,91900143.0,8300000.0,-189.0,Completed
2004-06-25,368.0,61360.0,4,57292,91900170.0,264240.0,-5.0,Completed
2004-06-25,375.0,21080.0,2,55251,91900302.0,2000000.0,-189.0,Completed
2004-06-28,365.0,78080.0,5,58000,91900143.0,10175000.0,-149.2,Completed
2004-06-28,366.0,18960.0,2,20023,91900160.0,1200000.0,-186.0,Completed
2004-06-28,367.0,38550.0,3,20023,91900143.0,8497000.0,-186.0,Completed
2004-06-28,368.0,20940.0,2,57292,91900170.0,135240.0,-2.0,Completed
2004-06-28,369.0,4250.0,1,20023,91900146.0,600000.0,-186.0,Completed
2004-06-28,375.0,30360.0,2,50430,91900302.0,1058000.0,-186.0,Completed
2004-06-28,379.0,15190.0,1,54904,91900296.0,100000.0,-2.0,Completed
2004-06-28,388.0,17660.0,1,55251,91900330.0,350000.0,-186.0,Completed
2004-06-29,364.0,26144.0,1,55688,91900182.0,54000.0,-1.0,Completed
2004-06-29,365.0,64232.0,6,54855,91900143.0,13311000.0,-154.33333333333334,Completed
2004-06-29,367.0,32360.0,4,57619,91900143.0,8811000.0,-230.25,Completed
2004-06-29,368.0,25300.0,1,52577,91900170.0,50000.0,-1.0,Completed
2004-06-29,375.0,15302.0,2,58187,91900302.0,1007000.0,-93.0,Completed
2004-06-29,379.0,35940.0,2,52577,91900296.0,225000.0,-1.0,Completed
2004-06-29,389.0,8480.0,2,57619,91900330.0,125000.0,-367.5,Completed
2004-06-30,346.0,21260.0,1,20023,91900146.0,600000.0,-184.0,Completed
2004-06-30,365.0,137160.0,9,52062,91900143.0,30200000.0,-184.0,Completed
